Year,Place,Player,Score,Notes
2023 - 24,1,Scottie Sheffler,-4,
,2,Ludvid Aberg,-3,
,T3,Tommy Fleetwood,-3,
,T3,Collin Morikawa,2,
,T3,Max Homa,1,
2018 - 19,1,Tiger Woods,-2,
,T2,Dustin Johnson,-4,
,T2,Brooks Koepka,-2,
,T2,Xander Schauffele,-4,
,T5,Tony Finau,E,Even
,T5,Webb Simpson,2,
,T5,Jason Day,-5,
,T5,Francesco Molinari,2,
2013 - 14,1,Bubba Watson,-3,
,T2,Jordan Spieth,E,Even
,T2,Jonas Blixt,-1,
,4,Miguel Angel Jimenez,-1,
,T5,Rickie Fowler,1,
,T5,Matt Kuchar,2,
2008 - 09,1,Angel Cabrera,-1,
,T2,Kenny Perry,-1,
,T2,Chad Campbell,-3,
,4,Shingo Katayama,-4,
,5,Phil Mickelson,-5,
2003 - 04,1,Phil Mickelson,-3,
,2,Ernie Els,-5,
,3,K. J. Choi,-3,
,T4,Sergio Garcia,E,Even
,T4,Bernhard Langer,-6,
