Year,Place,Player,Score,Notes
2023 - 24,1,Scottie Sheffler,-6,
,2,Ludvid Aberg,1,
,T3,Tommy Fleetwood,E,Even
,T3,Collin Morikawa,-1,
,T3,Max Homa,-5,
2018 - 19,1,Tiger Woods,-2,
,T2,Dustin Johnson,-4,
,T2,Brooks Koepka,-6,
,T2,Xander Schauffele,1,
,T5,Tony Finau,-1,
,T5,Webb Simpson,E,Even
,T5,Jason Day,-2,
,T5,Francesco Molinari,-2,
2013 - 14,1,Bubba Watson,-3,
,T2,Jordan Spieth,-1,
,T2,Jonas Blixt,-2,
,4,Miguel Angel Jimenez,-1,
,T5,Rickie Fowler,-1,
,T5,Matt Kuchar,1,
2008 - 09,1,Angel Cabrera,-4,
,T2,Kenny Perry,-4,
,T2,Chad Campbell,-7,
,4,Shingo Katayama,-5,
,5,Phil Mickelson,1,
2003 - 04,1,Phil Mickelson,E,Even
,2,Ernie Els,-2,
,3,K. J. Choi,-1,
,T4,Sergio Garcia,-1,
,T4,Bernhard Langer,E,Even
