Year,Place,Player,Score,Notes
2023 - 24,1,Scottie Sheffler,E,Even
,2,Ludvid Aberg,-3,
,T3,Tommy Fleetwood,-1,
,T3,Collin Morikawa,-2,
,T3,Max Homa,-1,
2018 - 19,1,Tiger Woods,-4,
,T2,Dustin Johnson,-2,
,T2,Brooks Koepka,-1,
,T2,Xander Schauffele,-7,
,T5,Tony Finau,-2,
,T5,Webb Simpson,-1,
,T5,Jason Day,-5,
,T5,Francesco Molinari,-5,
2013 - 14,1,Bubba Watson,-4,
,T2,Jordan Spieth,-2,
,T2,Jonas Blixt,-1,
,4,Miguel Angel Jimenez,4,
,T5,Rickie Fowler,3,
,T5,Matt Kuchar,-1,
2008 - 09,1,Angel Cabrera,-4,
,T2,Kenny Perry,-5,
,T2,Chad Campbell,-2,
,4,Shingo Katayama,1,
,5,Phil Mickelson,-4,
2003 - 04,1,Phil Mickelson,-3,
,2,Ernie Els,E,Even
,3,K. J. Choi,-2,
,T4,Sergio Garcia,1,
,T4,Bernhard Langer,E,Even
